total_credit_utilized,installment,grade,state,issue_date,application_time,accounts,y,vector_feature,non_decimal_feature,sentence_feature
54947,947.15,F,NV,11-Jan-18,55:47.4,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":3,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":5,""open_cc"":4,""mort"":0}",0,"[5.6, 5.14, 6.59, 2.77, 4.25]",0x20b,네트워크 연결 불안정
73705,203.51,E,IL,25-Mar-18,05:52.8,"{""current_delinq"":0,""current_installment"":4,""opened_24m"":6,""satisfactory"":7,""120d_past_due"":null,""30d_past_due"":0,""active_debit"":2,""total_cc"":6,""open_cc"":2,""mort"":5}",0,"[0.61, 1.88, 7.74, 5.88, 8.88]",0b110100011,알 수 없는 오류 발생
39482,476.33,C,CA,08-Feb-18,34:08.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":1,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":7,""open_cc"":4,""mort"":2}",0,"[4.59, 1.43, 0.25, 2.39, 1.09]",0b10100,데이터 처리 성공
18128,213.21,,KY,12-Feb-18,17:22.1,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":4,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":7,""open_cc"":6,""mort"":1}",0,"[2.73, 4.46, 5.3, 5.2, 7.89]",0b11011110,센서 값 정상 범위
47575,332.05,B,NV,01-Mar-18,38:01.9,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":5,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":7,""open_cc"":5,""mort"":1}",0,"[6.91, 0.09, 2.13, 4.5, 1.28]",0b110111011,모터 온도 상승 경고
151251,485.34,C,NJ,11-Feb-18,46:38.2,"{""current_delinq"":0,""current_installment"":7,""opened_24m"":10,""satisfactory"":17,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":22,""open_cc"":8,""mort"":6}",0,"[9.05, 6.72, 7.1, 9.54, 7.86]",0b111111101,초기화 작업 진행 중
6103,107.61,A,TX,01-Mar-18,31:58.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":0,""satisfactory"":4,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":7,""open_cc"":2,""mort"":1}",0,"[9.51, 5.66, 1.01, 1.13, 5.88]",0b111010100,네트워크 연결 불안정
69177,250.55,A,VA,29-Mar-18,41:58.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":3,""satisfactory"":7,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":14,""open_cc"":5,""mort"":2}",0,"[7.52, 0.84, 4.24, 7.01, 2.38]",0x1fb,배터리 잔량 부족
17296,405.98,C,PA,07-Mar-18,28:01.9,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":3,""satisfactory"":14,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":7,""total_cc"":16,""open_cc"":12,""mort"":1}",0,"[9.56, 3.28, 5.58, 4.79, 6.45]",0x65,분석 보고서 생성됨
26637,332.05,B,NY,15-Mar-18,21:58.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":11,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":16,""open_cc"":10,""mort"":0}",0,"[2.94, 3.11, 1.16, 6.21, 7.54]",0x3b5,사용자 로그인 기록
22920,99.31,A,IL,05-Feb-18,48:01.9,"{""current_delinq"":0,""current_installment"":5,""opened_24m"":2,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":3,""open_cc"":3,""mort"":0}",0,"[9.86, 2.88, 4.46, 0.58, 8.67]",0b1010100101,정기 점검 완료
14338,301.15,A,GA,31-Jan-18,49:43.3,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":5,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":9,""open_cc"":7,""mort"":1}",0,"[2.0, 3.67, 7.05, 6.49, 2.99]",0b1100110100,사용자 로그인 기록
2489,182.73,A,MO,08-Apr-18,16:38.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":3,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":18,""open_cc"":6,""mort"":2}",0,"[0.26, 8.45, 9.49, 5.67, 1.89]",0x48,초기화 작업 진행 중
105548,402.14,,CA,09-Feb-18,50:11.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":4,""satisfactory"":15,""120d_past_due"":null,""30d_past_due"":0,""active_debit"":8,""total_cc"":26,""open_cc"":12,""mort"":4}",0,"[8.22, 6.74, 2.56, 0.2, 6.25]",0x12b,시스템 업데이트 필요
497876,838.91,B,TX,23-Feb-18,40:27.5,"{""current_delinq"":0,""current_installment"":13,""opened_24m"":4,""satisfactory"":20,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":8,""open_cc"":6,""mort"":1}",0,"[8.27, 9.28, 7.57, 3.13, 6.25]",0x23c,시스템 업데이트 필요
51523,493.19,D,AR,21-Mar-18,12:42.6,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":3,""satisfactory"":20,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":8,""total_cc"":26,""open_cc"":17,""mort"":2}",0,"[8.75, 6.6, 7.16, 3.07, 8.82]",0xb4,배터리 잔량 부족
113927,747.92,D,SC,12-Apr-18,12:42.6,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":4,""satisfactory"":14,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":14,""open_cc"":11,""mort"":4}",0,"[8.65, 4.36, 5.31, 3.68, 5.28]",0x37,모터 온도 상승 경고
69647,318.19,B,CA,13-Jan-18,50:11.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":5,""satisfactory"":12,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":13,""open_cc"":9,""mort"":2}",0,"[2.48, 2.78, 1.47, 9.14, 0.59]",0b1000100101,알 수 없는 오류 발생
92,73.1,A,MD,29-Jan-18,14:08.2,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":0,""satisfactory"":3,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":0,""total_cc"":11,""open_cc"":3,""mort"":0}",0,"[1.23, 9.2, 5.73, 0.24, 2.61]",0x2a1,정기 점검 완료
13304,379.07,D,MD,27-Jan-18,02:42.6,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":0,""satisfactory"":7,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":8,""open_cc"":7,""mort"":0}",0,"[1.11, 3.27, 6.39, 7.2, 7.74]",0b111010001,사용자 로그인 기록
29954,571.47,C,NJ,05-Mar-18,47:22.1,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":4,""satisfactory"":14,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":15,""open_cc"":10,""mort"":2}",0,"[1.5, 1.89, 3.21, 0.88, 1.55]",0x33a,네트워크 연결 불안정
34186,308.42,B,PA,06-Feb-18,32:42.6,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":3,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":9,""open_cc"":4,""mort"":0}",0,"[9.05, 1.92, 9.42, 1.37, 6.97]",0x226,모터 온도 상승 경고
10466,1005.2,C,CA,15-Mar-18,08:01.9,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":1,""satisfactory"":4,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":3,""open_cc"":3,""mort"":1}",0,"[9.18, 9.12, 2.99, 0.68, 3.34]",0b1110111011,사용자 로그인 기록
12435,254.27,D,MI,01-Jan-18,15:52.8,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":2,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":8,""open_cc"":5,""mort"":1}",0,"[6.76, 8.95, 9.53, 2.09, 5.67]",0x361,센서 값 정상 범위
51012,333.6,B,MD,25-Mar-18,01:58.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":4,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":11,""open_cc"":8,""mort"":3}",0,"[7.64, 2.94, 9.19, 5.17, 4.21]",0b111111011,시스템 업데이트 필요
44015,833.57,C,VA,21-Jan-18,25:52.8,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":5,""satisfactory"":14,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":19,""open_cc"":11,""mort"":3}",0,"[2.48, 6.33, 3.32, 1.18, 1.64]",0b101110111,배터리 잔량 부족
31094,346.9,C,TX,03-Feb-18,53:13.3,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":4,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":7,""open_cc"":3,""mort"":0}",0,"[9.07, 4.76, 2.31, 6.45, 1.29]",0x2e4,분석 보고서 생성됨
49857,902.37,C,TX,17-Mar-18,08:01.9,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":9,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":7,""open_cc"":6,""mort"":2}",0,"[2.24, 3.55, 5.25, 4.18, 0.99]",0x1d9,정기 점검 완료
26515,461.24,A,NC,31-Jan-18,40:27.5,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":7,""satisfactory"":12,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":21,""open_cc"":9,""mort"":3}",0,"[1.11, 8.32, 6.45, 4.9, 2.95]",0b1000101110,정기 점검 완료
18870,614.9,A,FL,11-Mar-18,08:01.9,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":4,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":10,""open_cc"":8,""mort"":1}",0,"[4.41, 4.82, 6.36, 3.12, 8.6]",0b1000011111,분석 보고서 생성됨
13527,156.11,C,TX,27-Feb-18,41:58.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":1,""satisfactory"":7,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":5,""total_cc"":7,""open_cc"":5,""mort"":2}",0,"[3.94, 9.0, 9.84, 9.93, 4.98]",0x215,센서 값 정상 범위
5542,339.41,B,NE,15-Jan-18,12:42.6,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":1,""satisfactory"":7,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":8,""open_cc"":7,""mort"":0}",0,"[4.68, 3.86, 5.54, 7.39, 3.46]",0b1101101110,센서 값 정상 범위
199983,324.65,B,NC,13-Jan-18,28:01.9,"{""current_delinq"":0,""current_installment"":18,""opened_24m"":5,""satisfactory"":25,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":8,""open_cc"":6,""mort"":2}",0,"[7.1, 1.79, 1.17, 2.3, 0.56]",0x14a,시스템 업데이트 필요
69124,562.78,E,TX,23-Feb-18,51:58.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":11,""satisfactory"":15,""120d_past_due"":null,""30d_past_due"":0,""active_debit"":8,""total_cc"":12,""open_cc"":10,""mort"":2}",0,"[2.6, 4.91, 5.43, 1.29, 5.34]",0x151,네트워크 연결 불안정
53109,676.52,G,TX,23-Jan-18,53:13.3,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":10,""satisfactory"":15,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":21,""open_cc"":13,""mort"":0}",0,"[9.82, 8.86, 1.17, 5.2, 6.36]",0b1011010010,알 수 없는 오류 발생
34313,833.57,C,CA,23-Mar-18,05:52.8,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":2,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":9,""open_cc"":8,""mort"":0}",0,"[8.22, 6.65, 4.06, 6.66, 5.89]",0x2fc,배터리 잔량 부족
63799,304.54,A,GA,11-Mar-18,04:08.2,"{""current_delinq"":0,""current_installment"":4,""opened_24m"":1,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":8,""open_cc"":3,""mort"":3}",0,"[7.23, 9.72, 5.35, 8.13, 7.92]",0xa9,정기 점검 완료
52244,365.45,A,NC,17-Mar-18,43:08.5,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":4,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":10,""open_cc"":3,""mort"":3}",0,"[8.16, 7.39, 8.74, 7.35, 6.03]",0b11010110,분석 보고서 생성됨
4277,69.09,D,FL,19-Mar-18,06:38.2,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":0,""satisfactory"":3,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":3,""open_cc"":2,""mort"":1}",0,"[6.28, 7.11, 8.55, 6.4, 7.67]",0b110011001,사용자 로그인 기록
30262,465.5,A,NJ,14-Apr-18,31:58.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":9,""satisfactory"":23,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":6,""total_cc"":31,""open_cc"":20,""mort"":1}",0,"[0.74, 2.32, 2.05, 6.67, 1.36]",0b11011001,정기 점검 완료
51162,679.58,C,NV,15-Mar-18,27:22.1,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":9,""satisfactory"":24,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":8,""total_cc"":24,""open_cc"":21,""mort"":1}",0,"[2.96, 5.42, 0.52, 1.96, 9.03]",0b1101011,정기 점검 완료
24135,184.5,A,NV,31-Jan-18,28:01.9,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":9,""satisfactory"":14,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":5,""total_cc"":11,""open_cc"":11,""mort"":2}",0,"[4.8, 6.64, 2.07, 4.76, 8.71]",0b10010010,분석 보고서 생성됨
45181,301.11,A,CO,03-Feb-18,35:55.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":10,""satisfactory"":24,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":15,""total_cc"":22,""open_cc"":22,""mort"":0}",0,"[3.92, 5.75, 0.19, 1.68, 2.48]",0b100101001,정기 점검 완료
21687,805.86,B,WV,01-Jan-18,11:58.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":3,""satisfactory"":13,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":21,""open_cc"":11,""mort"":2}",0,"[8.66, 8.73, 9.1, 8.8, 1.05]",0b1110,알 수 없는 오류 발생
14770,322.3,B,MD,20-Apr-18,20:27.5,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":3,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":14,""open_cc"":9,""mort"":2}",0,"[0.34, 6.93, 7.2, 4.71, 6.63]",0b1000010111,초기화 작업 진행 중
53168,193.41,B,VA,13-Mar-18,22:42.6,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":0,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":5,""open_cc"":5,""mort"":0}",0,"[6.53, 7.34, 5.06, 7.46, 4.95]",0b1110000100,초기화 작업 진행 중
88594,466.1,C,VA,27-Mar-18,53:13.3,"{""current_delinq"":0,""current_installment"":6,""opened_24m"":8,""satisfactory"":17,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":14,""open_cc"":10,""mort"":5}",0,"[6.28, 3.7, 4.14, 2.09, 7.13]",0b11000010,센서 값 정상 범위
43253,469.84,A,CA,19-Feb-18,30:27.5,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":6,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":18,""open_cc"":6,""mort"":0}",0,"[8.84, 6.96, 8.38, 7.73, 8.64]",0x172,센서 값 정상 범위
33890,602.21,A,PA,09-Mar-18,04:08.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":3,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":23,""open_cc"":5,""mort"":2}",0,"[1.78, 3.7, 3.22, 9.11, 6.66]",0b1101001100,네트워크 연결 불안정
23425,222.74,B,FL,11-Mar-18,00:27.5,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":4,""satisfactory"":21,""120d_past_due"":null,""30d_past_due"":0,""active_debit"":5,""total_cc"":23,""open_cc"":20,""mort"":0}",0,"[2.61, 8.53, 7.44, 1.02, 8.4]",0xff,사용자 로그인 기록
36724,265.74,C,IL,15-Jan-18,43:08.5,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":8,""satisfactory"":13,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":6,""total_cc"":13,""open_cc"":11,""mort"":1}",0,"[2.92, 4.1, 7.66, 3.41, 6.62]",0b101101011,시스템 업데이트 필요
63783,184.29,C,NH,11-Mar-18,56:38.2,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":1,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":5,""total_cc"":7,""open_cc"":5,""mort"":3}",0,"[8.38, 9.04, 2.92, 1.45, 6.98]",0x31,분석 보고서 생성됨
807,167.56,C,UT,05-Jan-18,52:42.6,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":2,""satisfactory"":4,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":6,""open_cc"":4,""mort"":0}",0,"[2.05, 6.81, 4.96, 0.27, 3.13]",0x3a5,데이터 처리 성공
24714,344.52,D,DE,07-Mar-18,29:43.3,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":7,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":4,""open_cc"":3,""mort"":3}",0,"[8.78, 2.08, 8.6, 6.04, 8.58]",0b1111100001,시스템 업데이트 필요
14955,502.67,C,MA,19-Jan-18,23:13.3,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":11,""satisfactory"":21,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":8,""total_cc"":24,""open_cc"":20,""mort"":0}",0,"[1.26, 8.75, 9.24, 7.02, 3.19]",0b111110000,데이터 처리 성공
19719,307.45,A,NJ,08-Apr-18,23:13.3,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":1,""satisfactory"":5,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":4,""open_cc"":4,""mort"":0}",0,"[7.67, 6.19, 5.55, 6.88, 5.58]",0x255,정기 점검 완료
42068,273.5,D,KY,01-Mar-18,20:27.5,"{""current_delinq"":0,""current_installment"":9,""opened_24m"":3,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":2,""open_cc"":2,""mort"":0}",0,"[8.08, 4.22, 8.06, 0.24, 2.57]",0x131,네트워크 연결 불안정
59514,241.29,C,NC,11-Mar-18,20:27.5,"{""current_delinq"":0,""current_installment"":5,""opened_24m"":8,""satisfactory"":16,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":11,""open_cc"":10,""mort"":1}",0,"[8.4, 9.25, 1.59, 8.8, 9.86]",0b1111000,분석 보고서 생성됨
24861,815.85,C,FL,04-Feb-18,55:47.4,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":0,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":7,""open_cc"":6,""mort"":4}",0,"[4.13, 1.53, 0.18, 7.0, 6.88]",0b1101100101,데이터 처리 성공
4212,137.33,B,OR,19-Jan-18,13:21.5,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":6,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":10,""open_cc"":5,""mort"":0}",0,"[4.35, 5.08, 6.69, 5.27, 2.45]",0x2c6,사용자 로그인 기록
68594,86.13,D,OH,17-Feb-18,13:21.5,"{""current_delinq"":0,""current_installment"":9,""opened_24m"":2,""satisfactory"":14,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":4,""open_cc"":4,""mort"":0}",0,"[0.33, 8.35, 4.09, 2.24, 9.76]",0x8d,데이터 처리 성공
36441,463.14,D,TX,03-Jan-18,17:22.1,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":7,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":8,""total_cc"":17,""open_cc"":9,""mort"":1}",0,"[4.59, 7.33, 8.19, 7.46, 9.59]",0x5e,센서 값 정상 범위
13559,281.34,C,CA,10-Feb-18,30:27.5,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":13,""satisfactory"":18,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":5,""total_cc"":21,""open_cc"":15,""mort"":2}",0,"[3.14, 0.18, 4.71, 6.78, 4.63]",0b11011000,모터 온도 상승 경고
31663,1100.14,D,OK,01-Mar-18,17:22.1,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":4,""satisfactory"":7,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":5,""open_cc"":3,""mort"":1}",0,"[0.81, 8.83, 8.18, 6.03, 0.1]",0x202,네트워크 연결 불안정
