total_credit_utilized,installment,grade,state,issue_date,application_time,accounts,y,vector_feature,non_decimal_feature,sentence_feature
55939,848.31,B,FL,15-Mar-18,03:13.3,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":7,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":15,""open_cc"":8,""mort"":3}",0,"[4.22, 5.45, 9.23, 9.75, 6.14]",0x30,사용자 로그인 기록
43686,543.67,C,SC,23-Feb-18,44:08.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":11,""satisfactory"":12,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":20,""open_cc"":9,""mort"":3}",0,"[7.46, 2.09, 8.74, 9.97, 8.71]",0b10011101,알 수 없는 오류 발생
14387,356.46,B,CO,15-Mar-18,51:58.2,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":7,""satisfactory"":21,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":53,""open_cc"":20,""mort"":3}",0,"[9.11, 0.04, 5.92, 4.37, 1.79]",0b110111111,알 수 없는 오류 발생
26483,110.02,D,FL,14-Feb-18,48:01.9,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":4,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":17,""open_cc"":7,""mort"":1}",0,"[4.02, 9.76, 6.26, 2.53, 5.18]",0x1d7,모터 온도 상승 경고
75552,519.15,D,TN,23-Mar-18,10:27.5,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":1,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":10,""open_cc"":8,""mort"":2}",0,"[6.99, 7.73, 6.48, 6.05, 1.05]",0b10001,알 수 없는 오류 발생
93016,311.49,D,NV,25-Jan-18,16:38.2,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":8,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":7,""open_cc"":5,""mort"":2}",0,"[4.21, 7.77, 3.36, 5.54, 5.98]",0x14e,배터리 잔량 부족
54947,947.15,F,NV,11-Jan-18,55:47.4,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":3,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":5,""open_cc"":4,""mort"":0}",0,"[3.8, 2.25, 6.56, 0.01, 9.77]",0x1c9,데이터 처리 성공
73705,203.51,E,IL,25-Mar-18,05:52.8,"{""current_delinq"":0,""current_installment"":4,""opened_24m"":6,""satisfactory"":7,""120d_past_due"":null,""30d_past_due"":0,""active_debit"":2,""total_cc"":6,""open_cc"":2,""mort"":5}",0,"[2.68, 3.62, 6.14, 8.25, 9.23]",0b1100101101,모터 온도 상승 경고
39482,476.33,C,CA,08-Feb-18,34:08.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":1,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":7,""open_cc"":4,""mort"":2}",0,"[5.04, 2.96, 4.93, 5.09, 4.88]",0x112,정기 점검 완료
18128,213.21,,KY,12-Feb-18,17:22.1,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":4,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":7,""open_cc"":6,""mort"":1}",0,"[6.54, 9.58, 8.57, 7.52, 0.16]",0b101001101,시스템 업데이트 필요
47575,332.05,B,NV,01-Mar-18,38:01.9,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":5,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":7,""open_cc"":5,""mort"":1}",0,"[0.75, 1.14, 7.21, 8.8, 0.77]",0b1010111011,정기 점검 완료
151251,485.34,C,NJ,11-Feb-18,46:38.2,"{""current_delinq"":0,""current_installment"":7,""opened_24m"":10,""satisfactory"":17,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":22,""open_cc"":8,""mort"":6}",0,"[7.31, 1.69, 7.07, 3.23, 8.22]",0x101,분석 보고서 생성됨
6103,107.61,A,TX,01-Mar-18,31:58.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":0,""satisfactory"":4,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":7,""open_cc"":2,""mort"":1}",0,"[7.0, 9.68, 4.52, 6.42, 7.83]",0b11110110,시스템 업데이트 필요
69177,250.55,A,VA,29-Mar-18,41:58.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":3,""satisfactory"":7,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":14,""open_cc"":5,""mort"":2}",0,"[1.21, 5.91, 0.27, 3.1, 4.26]",0x189,알 수 없는 오류 발생
17296,405.98,C,PA,07-Mar-18,28:01.9,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":3,""satisfactory"":14,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":7,""total_cc"":16,""open_cc"":12,""mort"":1}",0,"[7.15, 8.37, 8.1, 6.73, 2.28]",0b111010101,사용자 로그인 기록
26637,332.05,B,NY,15-Mar-18,21:58.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":11,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":16,""open_cc"":10,""mort"":0}",0,"[3.97, 2.48, 3.31, 8.11, 8.37]",0b1101111000,분석 보고서 생성됨
22920,99.31,A,IL,05-Feb-18,48:01.9,"{""current_delinq"":0,""current_installment"":5,""opened_24m"":2,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":3,""open_cc"":3,""mort"":0}",0,"[7.86, 7.81, 1.22, 5.68, 0.49]",0x2a4,네트워크 연결 불안정
14338,301.15,A,GA,31-Jan-18,49:43.3,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":5,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":9,""open_cc"":7,""mort"":1}",0,"[5.94, 6.98, 0.24, 0.88, 9.04]",0b100101101,시스템 업데이트 필요
2489,182.73,A,MO,08-Apr-18,16:38.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":3,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":18,""open_cc"":6,""mort"":2}",0,"[9.76, 0.37, 6.23, 6.09, 5.53]",0b1010100010,네트워크 연결 불안정
105548,402.14,,CA,09-Feb-18,50:11.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":4,""satisfactory"":15,""120d_past_due"":null,""30d_past_due"":0,""active_debit"":8,""total_cc"":26,""open_cc"":12,""mort"":4}",0,"[9.61, 2.97, 7.1, 9.2, 8.95]",0x249,배터리 잔량 부족
497876,838.91,B,TX,23-Feb-18,40:27.5,"{""current_delinq"":0,""current_installment"":13,""opened_24m"":4,""satisfactory"":20,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":8,""open_cc"":6,""mort"":1}",0,"[0.86, 6.61, 6.99, 9.53, 0.69]",0x18,모터 온도 상승 경고
51523,493.19,D,AR,21-Mar-18,12:42.6,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":3,""satisfactory"":20,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":8,""total_cc"":26,""open_cc"":17,""mort"":2}",0,"[7.13, 6.13, 4.67, 4.45, 0.12]",0b1101110110,배터리 잔량 부족
113927,747.92,D,SC,12-Apr-18,12:42.6,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":4,""satisfactory"":14,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":14,""open_cc"":11,""mort"":4}",0,"[4.65, 0.13, 9.84, 8.82, 0.64]",0x38a,네트워크 연결 불안정
69647,318.19,B,CA,13-Jan-18,50:11.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":5,""satisfactory"":12,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":13,""open_cc"":9,""mort"":2}",0,"[6.47, 6.25, 4.35, 9.84, 6.07]",0b1101100101,네트워크 연결 불안정
92,73.1,A,MD,29-Jan-18,14:08.2,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":0,""satisfactory"":3,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":0,""total_cc"":11,""open_cc"":3,""mort"":0}",0,"[7.51, 0.44, 8.85, 8.83, 3.35]",0b101010101,모터 온도 상승 경고
13304,379.07,D,MD,27-Jan-18,02:42.6,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":0,""satisfactory"":7,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":8,""open_cc"":7,""mort"":0}",0,"[2.49, 7.63, 2.62, 7.12, 4.63]",0b1110101110,네트워크 연결 불안정
29954,571.47,C,NJ,05-Mar-18,47:22.1,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":4,""satisfactory"":14,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":15,""open_cc"":10,""mort"":2}",0,"[1.84, 1.59, 6.66, 3.36, 0.79]",0b1101010,분석 보고서 생성됨
34186,308.42,B,PA,06-Feb-18,32:42.6,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":3,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":9,""open_cc"":4,""mort"":0}",0,"[0.05, 0.52, 9.86, 7.92, 7.45]",0x1dc,센서 값 정상 범위
10466,1005.2,C,CA,15-Mar-18,08:01.9,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":1,""satisfactory"":4,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":3,""open_cc"":3,""mort"":1}",0,"[1.91, 8.43, 1.44, 0.06, 4.53]",0x347,네트워크 연결 불안정
12435,254.27,D,MI,01-Jan-18,15:52.8,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":2,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":8,""open_cc"":5,""mort"":1}",0,"[6.2, 2.69, 5.04, 7.37, 2.6]",0b101011000,데이터 처리 성공
51012,333.6,B,MD,25-Mar-18,01:58.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":4,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":11,""open_cc"":8,""mort"":3}",0,"[2.75, 0.86, 3.23, 7.15, 7.29]",0x213,정기 점검 완료
44015,833.57,C,VA,21-Jan-18,25:52.8,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":5,""satisfactory"":14,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":19,""open_cc"":11,""mort"":3}",0,"[6.24, 5.68, 5.62, 6.38, 9.48]",0b10111110,사용자 로그인 기록
31094,346.9,C,TX,03-Feb-18,53:13.3,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":4,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":7,""open_cc"":3,""mort"":0}",0,"[7.05, 0.58, 2.46, 4.36, 4.69]",0b1100001010,센서 값 정상 범위
49857,902.37,C,TX,17-Mar-18,08:01.9,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":9,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":7,""open_cc"":6,""mort"":2}",0,"[7.71, 3.82, 2.36, 7.07, 6.87]",0b1101100000,데이터 처리 성공
26515,461.24,A,NC,31-Jan-18,40:27.5,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":7,""satisfactory"":12,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":21,""open_cc"":9,""mort"":3}",0,"[8.95, 5.05, 6.38, 2.78, 5.47]",0b110100000,사용자 로그인 기록
18870,614.9,A,FL,11-Mar-18,08:01.9,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":4,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":10,""open_cc"":8,""mort"":1}",0,"[2.81, 0.63, 4.51, 7.02, 5.59]",0x78,센서 값 정상 범위
13527,156.11,C,TX,27-Feb-18,41:58.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":1,""satisfactory"":7,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":5,""total_cc"":7,""open_cc"":5,""mort"":2}",0,"[2.77, 9.07, 5.23, 0.35, 1.64]",0b101101010,모터 온도 상승 경고
5542,339.41,B,NE,15-Jan-18,12:42.6,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":1,""satisfactory"":7,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":8,""open_cc"":7,""mort"":0}",0,"[6.94, 1.78, 9.51, 6.69, 4.84]",0x20f,정기 점검 완료
199983,324.65,B,NC,13-Jan-18,28:01.9,"{""current_delinq"":0,""current_installment"":18,""opened_24m"":5,""satisfactory"":25,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":8,""open_cc"":6,""mort"":2}",0,"[6.97, 8.94, 4.58, 7.66, 2.94]",0x186,정기 점검 완료
69124,562.78,E,TX,23-Feb-18,51:58.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":11,""satisfactory"":15,""120d_past_due"":null,""30d_past_due"":0,""active_debit"":8,""total_cc"":12,""open_cc"":10,""mort"":2}",0,"[6.31, 5.1, 0.95, 8.25, 6.94]",0b101000011,네트워크 연결 불안정
53109,676.52,G,TX,23-Jan-18,53:13.3,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":10,""satisfactory"":15,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":21,""open_cc"":13,""mort"":0}",0,"[3.46, 8.18, 2.25, 3.18, 2.71]",0x29d,데이터 처리 성공
34313,833.57,C,CA,23-Mar-18,05:52.8,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":2,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":9,""open_cc"":8,""mort"":0}",0,"[5.17, 5.29, 4.05, 9.1, 5.55]",0x1f3,센서 값 정상 범위
63799,304.54,A,GA,11-Mar-18,04:08.2,"{""current_delinq"":0,""current_installment"":4,""opened_24m"":1,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":8,""open_cc"":3,""mort"":3}",0,"[0.17, 9.61, 2.51, 4.73, 6.15]",0b1000010010,분석 보고서 생성됨
52244,365.45,A,NC,17-Mar-18,43:08.5,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":4,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":10,""open_cc"":3,""mort"":3}",0,"[7.26, 0.22, 1.26, 1.62, 1.5]",0x2d,알 수 없는 오류 발생
4277,69.09,D,FL,19-Mar-18,06:38.2,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":0,""satisfactory"":3,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":3,""open_cc"":2,""mort"":1}",0,"[3.55, 3.28, 3.77, 3.63, 3.12]",0x7a,알 수 없는 오류 발생
30262,465.5,A,NJ,14-Apr-18,31:58.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":9,""satisfactory"":23,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":6,""total_cc"":31,""open_cc"":20,""mort"":1}",0,"[7.97, 5.01, 8.5, 3.85, 1.82]",0x1a8,알 수 없는 오류 발생
51162,679.58,C,NV,15-Mar-18,27:22.1,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":9,""satisfactory"":24,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":8,""total_cc"":24,""open_cc"":21,""mort"":1}",0,"[7.28, 6.15, 9.86, 8.93, 7.35]",0xe3,네트워크 연결 불안정
24135,184.5,A,NV,31-Jan-18,28:01.9,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":9,""satisfactory"":14,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":5,""total_cc"":11,""open_cc"":11,""mort"":2}",0,"[0.05, 3.03, 2.79, 9.71, 5.22]",0x94,센서 값 정상 범위
45181,301.11,A,CO,03-Feb-18,35:55.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":10,""satisfactory"":24,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":15,""total_cc"":22,""open_cc"":22,""mort"":0}",0,"[4.05, 9.5, 1.53, 0.34, 4.54]",0x1aa,사용자 로그인 기록
21687,805.86,B,WV,01-Jan-18,11:58.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":3,""satisfactory"":13,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":21,""open_cc"":11,""mort"":2}",0,"[8.91, 4.17, 5.59, 6.1, 8.23]",0x1c7,배터리 잔량 부족
14770,322.3,B,MD,20-Apr-18,20:27.5,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":3,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":14,""open_cc"":9,""mort"":2}",0,"[6.75, 7.51, 0.45, 9.52, 4.81]",0x2aa,모터 온도 상승 경고
53168,193.41,B,VA,13-Mar-18,22:42.6,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":0,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":5,""open_cc"":5,""mort"":0}",0,"[3.72, 5.49, 2.26, 2.72, 4.76]",0b1111110,사용자 로그인 기록
88594,466.1,C,VA,27-Mar-18,53:13.3,"{""current_delinq"":0,""current_installment"":6,""opened_24m"":8,""satisfactory"":17,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":14,""open_cc"":10,""mort"":5}",0,"[4.13, 7.25, 7.57, 7.49, 2.8]",0b1000100,시스템 업데이트 필요
43253,469.84,A,CA,19-Feb-18,30:27.5,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":6,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":18,""open_cc"":6,""mort"":0}",0,"[9.89, 5.16, 6.85, 2.48, 5.82]",0xde,데이터 처리 성공
33890,602.21,A,PA,09-Mar-18,04:08.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":3,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":23,""open_cc"":5,""mort"":2}",0,"[3.96, 3.55, 9.21, 0.68, 5.88]",0x247,시스템 업데이트 필요
23425,222.74,B,FL,11-Mar-18,00:27.5,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":4,""satisfactory"":21,""120d_past_due"":null,""30d_past_due"":0,""active_debit"":5,""total_cc"":23,""open_cc"":20,""mort"":0}",0,"[5.18, 7.68, 4.61, 0.02, 1.36]",0x17f,네트워크 연결 불안정
36724,265.74,C,IL,15-Jan-18,43:08.5,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":8,""satisfactory"":13,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":6,""total_cc"":13,""open_cc"":11,""mort"":1}",0,"[9.1, 9.17, 0.7, 5.77, 5.64]",0b11101110,센서 값 정상 범위
63783,184.29,C,NH,11-Mar-18,56:38.2,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":1,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":5,""total_cc"":7,""open_cc"":5,""mort"":3}",0,"[0.07, 2.33, 9.83, 8.33, 2.06]",0b101110100,분석 보고서 생성됨
807,167.56,C,UT,05-Jan-18,52:42.6,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":2,""satisfactory"":4,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":6,""open_cc"":4,""mort"":0}",0,"[5.25, 0.38, 7.18, 5.13, 4.38]",0x28a,정기 점검 완료
24714,344.52,D,DE,07-Mar-18,29:43.3,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":7,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":4,""open_cc"":3,""mort"":3}",0,"[3.05, 5.35, 4.68, 7.88, 6.85]",0x195,센서 값 정상 범위
14955,502.67,C,MA,19-Jan-18,23:13.3,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":11,""satisfactory"":21,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":8,""total_cc"":24,""open_cc"":20,""mort"":0}",0,"[7.6, 3.52, 2.07, 4.91, 2.79]",0b1010100100,분석 보고서 생성됨
19719,307.45,A,NJ,08-Apr-18,23:13.3,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":1,""satisfactory"":5,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":4,""open_cc"":4,""mort"":0}",0,"[9.46, 6.25, 9.88, 9.3, 6.23]",0xcc,네트워크 연결 불안정
42068,273.5,D,KY,01-Mar-18,20:27.5,"{""current_delinq"":0,""current_installment"":9,""opened_24m"":3,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":2,""open_cc"":2,""mort"":0}",0,"[3.13, 2.49, 0.62, 6.96, 2.46]",0b1100111111,배터리 잔량 부족
59514,241.29,C,NC,11-Mar-18,20:27.5,"{""current_delinq"":0,""current_installment"":5,""opened_24m"":8,""satisfactory"":16,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":11,""open_cc"":10,""mort"":1}",0,"[9.34, 3.92, 7.95, 2.7, 3.36]",0x35e,센서 값 정상 범위
24861,815.85,C,FL,04-Feb-18,55:47.4,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":0,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":7,""open_cc"":6,""mort"":4}",0,"[2.47, 5.93, 7.4, 0.29, 0.87]",0x18d,데이터 처리 성공
4212,137.33,B,OR,19-Jan-18,13:21.5,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":6,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":10,""open_cc"":5,""mort"":0}",0,"[3.71, 9.72, 1.8, 1.19, 3.55]",0b1000111011,정기 점검 완료
68594,86.13,D,OH,17-Feb-18,13:21.5,"{""current_delinq"":0,""current_installment"":9,""opened_24m"":2,""satisfactory"":14,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":4,""open_cc"":4,""mort"":0}",0,"[5.06, 2.54, 3.55, 7.17, 5.81]",0b110101101,알 수 없는 오류 발생
36441,463.14,D,TX,03-Jan-18,17:22.1,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":7,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":8,""total_cc"":17,""open_cc"":9,""mort"":1}",0,"[8.69, 4.68, 2.92, 4.48, 7.2]",0b1101101111,데이터 처리 성공
13559,281.34,C,CA,10-Feb-18,30:27.5,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":13,""satisfactory"":18,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":5,""total_cc"":21,""open_cc"":15,""mort"":2}",0,"[7.9, 7.58, 9.32, 4.54, 5.51]",0b1011111,분석 보고서 생성됨
31663,1100.14,D,OK,01-Mar-18,17:22.1,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":4,""satisfactory"":7,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":5,""open_cc"":3,""mort"":1}",0,"[0.88, 0.21, 9.67, 9.59, 7.53]",0b111101100,모터 온도 상승 경고
