total_credit_utilized,installment,grade,state,issue_date,application_time,accounts,y
22895,595.28,,IL,20-Apr-18,17:01:58.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":6,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":16,""open_cc"":8,""mort"":2}",0
55939,848.31,B,FL,15-Mar-18,15:03:13.3,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":7,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":15,""open_cc"":8,""mort"":3}",0
43686,543.67,C,SC,23-Feb-18,17:44:08.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":11,""satisfactory"":12,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":20,""open_cc"":9,""mort"":3}",0
14387,356.46,B,CO,15-Mar-18,15:51:58.2,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":7,""satisfactory"":21,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":53,""open_cc"":20,""mort"":3}",0
26483,110.02,D,FL,14-Feb-18,13:48:01.9,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":4,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":17,""open_cc"":7,""mort"":1}",0
75552,519.15,D,TN,23-Mar-18,14:10:27.5,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":1,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":10,""open_cc"":8,""mort"":2}",0
93016,311.49,D,NV,25-Jan-18,11:16:38.2,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":8,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":7,""open_cc"":5,""mort"":2}",0
54947,947.15,F,NV,11-Jan-18,15:55:47.4,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":3,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":5,""open_cc"":4,""mort"":0}",0
73705,203.51,E,IL,25-Mar-18,10:05:52.8,"{""current_delinq"":0,""current_installment"":4,""opened_24m"":6,""satisfactory"":7,""120d_past_due"":null,""30d_past_due"":0,""active_debit"":2,""total_cc"":6,""open_cc"":2,""mort"":5}",0
39482,476.33,C,CA,08-Feb-18,14:34:08.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":1,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":7,""open_cc"":4,""mort"":2}",0
18128,213.21,,KY,12-Feb-18,16:17:22.1,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":4,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":7,""open_cc"":6,""mort"":1}",0
47575,332.05,B,NV,01-Mar-18,11:38:01.9,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":5,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":7,""open_cc"":5,""mort"":1}",0
151251,485.34,C,NJ,11-Feb-18,16:46:38.2,"{""current_delinq"":0,""current_installment"":7,""opened_24m"":10,""satisfactory"":17,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":22,""open_cc"":8,""mort"":6}",0
6103,107.61,A,TX,01-Mar-18,14:31:58.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":0,""satisfactory"":4,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":7,""open_cc"":2,""mort"":1}",0
69177,250.55,A,VA,29-Mar-18,17:41:58.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":3,""satisfactory"":7,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":14,""open_cc"":5,""mort"":2}",0
17296,405.98,C,PA,07-Mar-18,14:28:01.9,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":3,""satisfactory"":14,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":7,""total_cc"":16,""open_cc"":12,""mort"":1}",0
26637,332.05,B,NY,15-Mar-18,11:21:58.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":11,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":16,""open_cc"":10,""mort"":0}",0
22920,99.31,A,IL,05-Feb-18,13:48:01.9,"{""current_delinq"":0,""current_installment"":5,""opened_24m"":2,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":3,""open_cc"":3,""mort"":0}",0
14338,301.15,A,GA,31-Jan-18,14:49:43.3,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":5,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":9,""open_cc"":7,""mort"":1}",0
2489,182.73,A,MO,08-Apr-18,14:16:38.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":3,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":18,""open_cc"":6,""mort"":2}",0
105548,402.14,,CA,09-Feb-18,10:50:11.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":4,""satisfactory"":15,""120d_past_due"":null,""30d_past_due"":0,""active_debit"":8,""total_cc"":26,""open_cc"":12,""mort"":4}",0
497876,838.91,B,TX,23-Feb-18,14:40:27.5,"{""current_delinq"":0,""current_installment"":13,""opened_24m"":4,""satisfactory"":20,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":8,""open_cc"":6,""mort"":1}",0
51523,493.19,D,AR,21-Mar-18,16:12:42.6,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":3,""satisfactory"":20,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":8,""total_cc"":26,""open_cc"":17,""mort"":2}",0
113927,747.92,D,SC,12-Apr-18,16:12:42.6,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":4,""satisfactory"":14,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":14,""open_cc"":11,""mort"":4}",0
69647,318.19,B,CA,13-Jan-18,11:50:11.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":5,""satisfactory"":12,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":13,""open_cc"":9,""mort"":2}",0
92,73.1,A,MD,29-Jan-18,15:14:08.2,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":0,""satisfactory"":3,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":0,""total_cc"":11,""open_cc"":3,""mort"":0}",0
13304,379.07,D,MD,27-Jan-18,14:02:42.6,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":0,""satisfactory"":7,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":8,""open_cc"":7,""mort"":0}",0
29954,571.47,C,NJ,05-Mar-18,16:47:22.1,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":4,""satisfactory"":14,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":15,""open_cc"":10,""mort"":2}",0
34186,308.42,B,PA,06-Feb-18,15:32:42.6,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":3,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":9,""open_cc"":4,""mort"":0}",0
10466,1005.2,C,CA,15-Mar-18,10:08:01.9,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":1,""satisfactory"":4,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":3,""open_cc"":3,""mort"":1}",0
12435,254.27,D,MI,01-Jan-18,13:15:52.8,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":2,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":8,""open_cc"":5,""mort"":1}",0
51012,333.6,B,MD,25-Mar-18,15:01:58.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":4,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":11,""open_cc"":8,""mort"":3}",0
44015,833.57,C,VA,21-Jan-18,14:25:52.8,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":5,""satisfactory"":14,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":19,""open_cc"":11,""mort"":3}",0
31094,346.9,C,TX,03-Feb-18,15:53:13.3,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":4,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":7,""open_cc"":3,""mort"":0}",0
49857,902.37,C,TX,17-Mar-18,15:08:01.9,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":9,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":7,""open_cc"":6,""mort"":2}",0
26515,461.24,A,NC,31-Jan-18,16:40:27.5,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":7,""satisfactory"":12,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":21,""open_cc"":9,""mort"":3}",0
18870,614.9,A,FL,11-Mar-18,15:08:01.9,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":4,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":10,""open_cc"":8,""mort"":1}",0
13527,156.11,C,TX,27-Feb-18,15:41:58.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":1,""satisfactory"":7,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":5,""total_cc"":7,""open_cc"":5,""mort"":2}",0
5542,339.41,B,NE,15-Jan-18,11:12:42.6,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":1,""satisfactory"":7,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":8,""open_cc"":7,""mort"":0}",0
199983,324.65,B,NC,13-Jan-18,15:28:01.9,"{""current_delinq"":0,""current_installment"":18,""opened_24m"":5,""satisfactory"":25,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":8,""open_cc"":6,""mort"":2}",0
69124,562.78,E,TX,23-Feb-18,16:51:58.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":11,""satisfactory"":15,""120d_past_due"":null,""30d_past_due"":0,""active_debit"":8,""total_cc"":12,""open_cc"":10,""mort"":2}",0
53109,676.52,G,TX,23-Jan-18,11:53:13.3,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":10,""satisfactory"":15,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":21,""open_cc"":13,""mort"":0}",0
34313,833.57,C,CA,23-Mar-18,10:05:52.8,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":2,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":9,""open_cc"":8,""mort"":0}",0
63799,304.54,A,GA,11-Mar-18,11:04:08.2,"{""current_delinq"":0,""current_installment"":4,""opened_24m"":1,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":8,""open_cc"":3,""mort"":3}",0
52244,365.45,A,NC,17-Mar-18,14:43:08.5,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":4,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":10,""open_cc"":3,""mort"":3}",0
4277,69.09,D,FL,19-Mar-18,14:06:38.2,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":0,""satisfactory"":3,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":3,""open_cc"":2,""mort"":1}",0
30262,465.5,A,NJ,14-Apr-18,14:31:58.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":9,""satisfactory"":23,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":6,""total_cc"":31,""open_cc"":20,""mort"":1}",0
51162,679.58,C,NV,15-Mar-18,11:27:22.1,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":9,""satisfactory"":24,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":8,""total_cc"":24,""open_cc"":21,""mort"":1}",0
24135,184.5,A,NV,31-Jan-18,14:28:01.9,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":9,""satisfactory"":14,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":5,""total_cc"":11,""open_cc"":11,""mort"":2}",0
45181,301.11,A,CO,03-Feb-18,13:35:55.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":10,""satisfactory"":24,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":15,""total_cc"":22,""open_cc"":22,""mort"":0}",0
21687,805.86,B,WV,01-Jan-18,15:11:58.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":3,""satisfactory"":13,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":21,""open_cc"":11,""mort"":2}",0
14770,322.3,B,MD,20-Apr-18,14:20:27.5,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":3,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":14,""open_cc"":9,""mort"":2}",0
53168,193.41,B,VA,13-Mar-18,15:22:42.6,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":0,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":5,""open_cc"":5,""mort"":0}",0
88594,466.1,C,VA,27-Mar-18,15:53:13.3,"{""current_delinq"":0,""current_installment"":6,""opened_24m"":8,""satisfactory"":17,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":14,""open_cc"":10,""mort"":5}",0
43253,469.84,A,CA,19-Feb-18,14:30:27.5,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":6,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":18,""open_cc"":6,""mort"":0}",0
33890,602.21,A,PA,09-Mar-18,14:04:08.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":3,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":23,""open_cc"":5,""mort"":2}",0
23425,222.74,B,FL,11-Mar-18,15:00:27.5,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":4,""satisfactory"":21,""120d_past_due"":null,""30d_past_due"":0,""active_debit"":5,""total_cc"":23,""open_cc"":20,""mort"":0}",0
36724,265.74,C,IL,15-Jan-18,16:43:08.5,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":8,""satisfactory"":13,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":6,""total_cc"":13,""open_cc"":11,""mort"":1}",0
63783,184.29,C,NH,11-Mar-18,10:56:38.2,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":1,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":5,""total_cc"":7,""open_cc"":5,""mort"":3}",0
807,167.56,C,UT,05-Jan-18,14:52:42.6,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":2,""satisfactory"":4,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":6,""open_cc"":4,""mort"":0}",0
24714,344.52,D,DE,07-Mar-18,11:29:43.3,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":7,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":4,""open_cc"":3,""mort"":3}",0
14955,502.67,C,MA,19-Jan-18,10:23:13.3,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":11,""satisfactory"":21,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":8,""total_cc"":24,""open_cc"":20,""mort"":0}",0
19719,307.45,A,NJ,08-Apr-18,16:23:13.3,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":1,""satisfactory"":5,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":4,""open_cc"":4,""mort"":0}",0
42068,273.5,D,KY,01-Mar-18,14:20:27.5,"{""current_delinq"":0,""current_installment"":9,""opened_24m"":3,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":2,""open_cc"":2,""mort"":0}",0
59514,241.29,C,NC,11-Mar-18,14:20:27.5,"{""current_delinq"":0,""current_installment"":5,""opened_24m"":8,""satisfactory"":16,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":11,""open_cc"":10,""mort"":1}",0
24861,815.85,C,FL,04-Feb-18,15:55:47.4,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":0,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":7,""open_cc"":6,""mort"":4}",0
4212,137.33,B,OR,19-Jan-18,11:13:21.5,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":6,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":10,""open_cc"":5,""mort"":0}",0
68594,86.13,D,OH,17-Feb-18,15:13:21.5,"{""current_delinq"":0,""current_installment"":9,""opened_24m"":2,""satisfactory"":14,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":4,""open_cc"":4,""mort"":0}",0
36441,463.14,D,TX,03-Jan-18,13:17:22.1,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":7,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":8,""total_cc"":17,""open_cc"":9,""mort"":1}",0
13559,281.34,C,CA,10-Feb-18,15:30:27.5,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":13,""satisfactory"":18,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":5,""total_cc"":21,""open_cc"":15,""mort"":2}",0
31663,1100.14,D,OK,01-Mar-18,15:17:22.1,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":4,""satisfactory"":7,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":5,""open_cc"":3,""mort"":1}",0
65964,234.58,C,PA,07-Jan-18,15:18:01.9,"{""current_delinq"":0,""current_installment"":5,""opened_24m"":8,""satisfactory"":13,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":8,""open_cc"":7,""mort"":1}",0
70510,761.35,A,TX,11-Feb-18,15:49:43.3,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":5,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":9,""open_cc"":6,""mort"":2}",0
860,838.71,B,FL,13-Mar-18,14:15:52.8,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":8,""satisfactory"":15,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":21,""open_cc"":15,""mort"":2}",0
87687,514.91,B,VA,18-Feb-18,10:15:52.8,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":3,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":14,""open_cc"":7,""mort"":4}",0
14461,156.59,A,SD,04-Apr-18,11:27:22.1,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":6,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":5,""total_cc"":23,""open_cc"":9,""mort"":0}",0
121076,922.25,C,MO,31-Jan-18,15:44:08.2,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":9,""satisfactory"":18,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":27,""open_cc"":13,""mort"":4}",0
159851,357.17,C,IL,14-Apr-18,17:51:58.2,"{""current_delinq"":0,""current_installment"":6,""opened_24m"":8,""satisfactory"":14,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":8,""open_cc"":7,""mort"":1}",0
18294,167.54,C,TX,08-Apr-18,14:17:22.1,"{""current_delinq"":0,""current_installment"":7,""opened_24m"":9,""satisfactory"":15,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":13,""open_cc"":8,""mort"":0}",0
40982,219.23,A,FL,04-Apr-18,11:07:22.1,"{""current_delinq"":0,""current_installment"":8,""opened_24m"":3,""satisfactory"":15,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":5,""total_cc"":8,""open_cc"":7,""mort"":1}",0
47451,402.25,C,AZ,13-Mar-18,17:40:27.5,"{""current_delinq"":0,""current_installment"":4,""opened_24m"":3,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":11,""open_cc"":5,""mort"":1}",0
23551,729.71,C,NY,19-Mar-18,14:25:52.8,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":6,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":5,""total_cc"":6,""open_cc"":6,""mort"":1}",0
177350,579.95,E,NJ,27-Feb-18,13:58:01.9,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":5,""satisfactory"":14,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":7,""total_cc"":23,""open_cc"":12,""mort"":3}",0
16061,626.46,A,IL,08-Feb-18,13:20:27.5,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":7,""satisfactory"":28,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":9,""total_cc"":32,""open_cc"":27,""mort"":1}",0
10994,381.4,D,MN,14-Feb-18,14:22:42.6,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":4,""satisfactory"":16,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":22,""open_cc"":16,""mort"":0}",0
84019,365.5,A,TX,22-Feb-18,14:36:38.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":5,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":9,""open_cc"":6,""mort"":2}",0
7020,496.9,A,CO,19-Feb-18,16:07:22.1,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":0,""satisfactory"":3,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":5,""open_cc"":2,""mort"":0}",0
47779,578.21,A,MA,27-Feb-18,14:00:27.5,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":9,""satisfactory"":13,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":6,""total_cc"":10,""open_cc"":9,""mort"":1}",0
22788,227.26,B,NJ,31-Jan-18,14:45:52.8,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":3,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":6,""total_cc"":11,""open_cc"":8,""mort"":2}",0
29553,397.41,D,MN,07-Feb-18,10:54:08.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":3,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":7,""total_cc"":17,""open_cc"":10,""mort"":2}",0
60327,388.53,C,NY,13-Feb-18,15:48:01.9,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":2,""satisfactory"":7,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":9,""open_cc"":6,""mort"":1}",0
30552,250.55,A,IL,19-Mar-18,11:56:38.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":7,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":6,""total_cc"":8,""open_cc"":8,""mort"":1}",0
39168,607.97,E,TX,10-Apr-18,16:31:58.2,"{""current_delinq"":0,""current_installment"":4,""opened_24m"":8,""satisfactory"":15,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":26,""open_cc"":10,""mort"":2}",0
78028,226.51,B,TN,31-Jan-18,10:50:11.2,"{""current_delinq"":0,""current_installment"":9,""opened_24m"":7,""satisfactory"":21,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":13,""open_cc"":10,""mort"":3}",0
42210,244.65,C,NH,09-Mar-18,15:20:27.5,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":3,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":27,""open_cc"":8,""mort"":3}",0
13329,416.22,C,SC,02-Apr-18,14:19:43.3,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":0,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":5,""total_cc"":10,""open_cc"":9,""mort"":0}",0
79897,602.21,A,NY,15-Mar-18,17:22:42.6,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":7,""satisfactory"":17,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":19,""open_cc"":14,""mort"":3}",0
40706,246.36,C,FL,07-Mar-18,15:35:55.2,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":7,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":8,""open_cc"":6,""mort"":0}",0
