total_credit_utilized,installment,state,non_decimal_feature,sentence_feature,accounts_current_delinq,accounts_current_installment,accounts_opened_24m,accounts_satisfactory,accounts_120d_past_due,accounts_30d_past_due,accounts_active_debit,accounts_total_cc,accounts_open_cc,accounts_mort,grade_C,grade_D,grade_A,grade_B,grade_Missing,grade_F,grade_E,grade_G,issue_date_year,issue_date_month,issue_date_day,application_time_time_seconds,vector_feature_pca_0,vector_feature_pca_1,vector_feature_pca_2,y,split
34310,833,36,0x2fc,배터리 잔량 부족,0,1,2,9,0.0,0,3,9,8,0,1,0,0,0,0,0,0,0,2018,3,23,36352.8,-1.1389444527961365,2.748425476529815,1.656022111781808,0,full
63790,304,23,0xa9,정기 점검 완료,0,4,1,8,0.0,0,1,8,3,3,0,0,1,0,0,0,0,0,2018,3,11,39848.2,0.6772276226511087,3.5484032208223857,3.8626668884937017,0,full
52240,365,42,0b11010110,분석 보고서 생성됨,0,2,4,6,0.0,0,1,10,3,3,0,0,1,0,0,0,0,0,2018,3,17,52988.5,1.2146530251777685,4.721476166991899,3.4199421106175594,0,full
4270,69,43,0b110011001,사용자 로그인 기록,0,0,0,3,0.0,0,1,3,2,1,0,1,0,0,0,0,0,0,2018,3,19,50798.2,3.0872969854083463,3.0799894439585342,2.7753258080892875,0,full
30260,465,34,0b11011001,정기 점검 완료,0,2,9,23,0.0,0,6,31,20,1,0,0,1,0,0,0,0,0,2018,4,14,52318.2,-3.6155828532063814,-5.823022993748583,-0.046510942501810426,0,full
51160,679,44,0b1101011,정기 점검 완료,0,3,9,24,0.0,0,8,24,21,1,1,0,0,0,0,0,0,0,2018,3,15,41242.1,2.022434479912758,-2.909010254397037,-3.0877793792505477,0,full
24130,184,44,0b10010010,분석 보고서 생성됨,0,2,9,14,0.0,0,5,11,11,2,0,0,1,0,0,0,0,0,2018,1,31,52081.9,1.2849733174342033,-0.6241280997296625,-0.06700673286972147,0,full
45180,301,21,0b100101001,정기 점검 완료,0,2,10,24,0.0,0,15,22,22,0,0,0,1,0,0,0,0,0,2018,2,3,48955.2,-3.292904425674042,-1.9190352212343464,-4.785492595683717,0,full
21680,805,18,0b1110,알 수 없는 오류 발생,0,1,3,13,0.0,0,4,21,11,2,0,0,0,1,0,0,0,0,2018,1,1,54718.2,-3.004542527453755,5.798296061788476,3.8807648807701414,0,full
14770,322,28,0b1000010111,초기화 작업 진행 중,0,0,3,10,0.0,0,4,14,9,2,0,0,0,1,0,0,0,0,2018,4,20,51627.5,3.4528044842468333,-2.0846216252997225,0.522725125541303,0,full
53160,193,20,0b1110000100,초기화 작업 진행 중,0,1,0,6,0.0,0,4,5,5,0,0,0,0,1,0,0,0,0,2018,3,13,55362.6,-1.2104169333286237,1.9940199494770168,2.433486063630407,0,full
88590,466,20,0b11000010,센서 값 정상 범위,0,6,8,17,0.0,0,2,14,10,5,1,0,0,0,0,0,0,0,2018,3,27,57193.3,1.8170069501199775,0.439431254568758,-2.5478519118784657,0,full
43250,469,36,0x172,센서 값 정상 범위,0,2,6,8,0.0,0,4,18,6,0,0,0,1,0,0,0,0,0,2018,2,19,52227.5,2.7699750032743635,4.836490116867847,4.251039895954446,0,full
33890,602,24,0b1101001100,네트워크 연결 불안정,0,2,3,8,0.0,0,2,23,5,2,0,0,1,0,0,0,0,0,2018,3,9,50648.2,-0.008371515496991666,-4.3586754952847215,3.7274695745782447,0,full
23420,222,43,0xff,사용자 로그인 기록,0,1,4,21,0.0,0,5,23,20,0,0,0,0,1,0,0,0,0,2018,3,11,54027.5,5.349144401075631,0.9229846812658513,-2.4531826306239113,0,full
36720,265,22,0b101101011,시스템 업데이트 필요,0,2,8,13,0.0,0,6,13,11,1,1,0,0,0,0,0,0,0,2018,1,15,60188.5,3.666599416436953,-0.8998469072182171,-0.6608060658731993,0,full
63780,184,10,0x31,분석 보고서 생성됨,0,3,1,9,0.0,0,5,7,5,3,1,0,0,0,0,0,0,0,2018,3,11,39398.2,0.3778253990565963,4.064167284700962,-3.232163403600657,0,full
800,167,41,0x3a5,데이터 처리 성공,0,0,2,4,0.0,0,2,6,4,0,1,0,0,0,0,0,0,0,2018,1,5,53562.6,0.4960473133410388,-1.0003654266422481,-4.912631215749022,0,full
24710,344,48,0b1111100001,시스템 업데이트 필요,0,3,7,6,0.0,0,2,4,3,3,0,1,0,0,0,0,0,0,2018,3,7,41383.3,3.6853875894577293,2.9562048117704416,2.5080725802562123,0,full
14950,502,38,0b111110000,데이터 처리 성공,0,1,11,21,0.0,0,8,24,20,0,1,0,0,0,0,0,0,0,2018,1,19,37393.3,0.91676184291323,0.040509204988975256,2.5304167874575887,0,full
19710,307,34,0x255,정기 점검 완료,0,1,1,5,0.0,0,2,4,4,0,0,0,1,0,0,0,0,0,2018,4,8,58993.3,-0.48729903143632924,2.655176801308241,2.107764590834033,0,full
42060,273,12,0x131,네트워크 연결 불안정,0,9,3,11,0.0,0,1,2,2,0,0,1,0,0,0,0,0,0,2018,3,1,51627.5,0.5134570021370344,3.945866654903191,-4.335680178250511,0,full
59510,241,42,0b1111000,분석 보고서 생성됨,0,5,8,16,0.0,0,2,11,10,1,1,0,0,0,0,0,0,0,2018,3,11,51627.5,-0.2750023376592545,2.727490277460457,4.070065989776281,0,full
24860,815,43,0b1101100101,데이터 처리 성공,0,1,0,8,0.0,0,4,7,6,4,1,0,0,0,0,0,0,0,2018,2,4,57347.4,-1.2378941254322613,-4.319142880977509,1.0539707291329714,0,full
4210,137,25,0x2c6,사용자 로그인 기록,0,1,6,6,0.0,0,3,10,5,0,0,0,0,1,0,0,0,0,2018,1,19,40401.5,-0.9508363017477426,0.19590985616441703,0.06721858174425677,0,full
68590,86,31,0x8d,데이터 처리 성공,0,9,2,14,0.0,0,3,4,4,0,0,1,0,0,0,0,0,0,2018,2,17,54801.5,4.792714836367213,-2.451659142331189,-1.810999800782529,0,full
36440,463,37,0x5e,센서 값 정상 범위,0,2,7,11,0.0,0,8,17,9,1,0,1,0,0,0,0,0,0,2018,1,3,47842.1,4.424799531398126,1.5005224315577452,4.08299190975304,0,full
13550,281,36,0b11011000,모터 온도 상승 경고,0,2,13,18,0.0,0,5,21,15,2,1,0,0,0,0,0,0,0,2018,2,10,55827.5,-0.15525371521485853,-3.8934119070758326,1.3208591125283702,0,full
31660,1100,15,0x202,네트워크 연결 불안정,0,3,4,7,0.0,0,2,5,3,1,0,1,0,0,0,0,0,0,2018,3,1,55042.1,-1.6098570020482879,-0.4984472378934761,0.6904380042349869,0,full
65960,234,24,0b101010101,초기화 작업 진행 중,0,5,8,13,0.0,0,2,8,7,1,1,0,0,0,0,0,0,0,2018,1,7,55081.9,-0.12236403633521364,-3.3489514298185066,3.0887992541680793,0,full
70510,761,37,0x75,초기화 작업 진행 중,0,2,5,8,0.0,0,3,9,6,2,0,0,1,0,0,0,0,0,2018,2,11,56983.3,-4.103783392926582,-3.828117854435959,-1.2396834145217968,0,full
860,838,43,0b1010101100,초기화 작업 진행 중,0,0,8,15,0.0,0,3,21,15,2,0,0,0,1,0,0,0,0,2018,3,13,51352.8,0.651723040219224,-2.016593995613243,0.9525882215649562,0,full
87680,514,20,0x2ca,분석 보고서 생성됨,0,2,3,10,0.0,0,3,14,7,4,0,0,0,1,0,0,0,0,2018,2,18,36952.8,-1.4234777630921314,5.466317021293649,-1.611993000791892,0,full
14460,156,16,0b11010011,분석 보고서 생성됨,0,1,6,10,0.0,0,5,23,9,0,0,0,1,0,0,0,0,0,2018,4,4,41242.1,7.0477671467679714,1.2107005301796727,-2.5783391223310526,0,full
121070,922,11,0b1100111100,시스템 업데이트 필요,0,3,9,18,0.0,0,4,27,13,4,1,0,0,0,0,0,0,0,2018,1,31,56648.2,-4.301084825300584,-0.21325191727048232,-6.312472400860877,0,full
159850,357,22,0b10001101,네트워크 연결 불안정,0,6,8,14,0.0,0,3,8,7,1,1,0,0,0,0,0,0,0,2018,4,14,64318.2,0.33954975471048465,0.03209033581229637,4.46440465537061,0,full
18290,167,37,0x3af,시스템 업데이트 필요,0,7,9,15,0.0,0,3,13,8,0,1,0,0,0,0,0,0,0,2018,4,8,51442.1,-2.4544402601284148,-4.140284684049019,-1.3500736939917344,0,full
40980,219,43,0b1100110111,시스템 업데이트 필요,0,8,3,15,0.0,0,5,8,7,1,0,0,1,0,0,0,0,0,2018,4,4,40042.1,-3.7704750034274173,2.7201682384706958,-3.3880852055989816,0,full
47450,402,27,0x141,네트워크 연결 불안정,0,4,3,9,0.0,0,1,11,5,1,1,0,0,0,0,0,0,0,2018,3,13,63627.5,2.323745860747624,-3.3280540966158307,3.636942330691112,0,full
23550,729,46,0b1010101101,정기 점검 완료,0,1,6,8,0.0,0,5,6,6,1,1,0,0,0,0,0,0,0,2018,3,19,51952.8,1.0435112792904029,3.978952973169208,-3.5715544897205667,0,full
177350,579,34,0b1111010,알 수 없는 오류 발생,0,1,5,14,0.0,0,7,23,12,3,0,0,0,0,0,0,1,0,2018,2,27,50281.9,3.441744084207497,-4.2482273293001205,-2.5204572141911044,0,full
16060,626,22,0b1011011110,센서 값 정상 범위,0,1,7,28,0.0,0,9,32,27,1,0,0,1,0,0,0,0,0,2018,2,8,48027.5,-3.5375966061263284,-4.053969184430949,-4.809214025363516,0,full
10990,381,5,0b1101011101,정기 점검 완료,0,0,4,16,0.0,0,4,22,16,0,0,1,0,0,0,0,0,0,2018,2,14,51762.6,-1.673961941669527,-1.8789088808982948,0.7159755366474716,0,full
84010,365,37,0b1110000000,초기화 작업 진행 중,0,2,5,10,0.0,0,3,9,6,2,0,0,1,0,0,0,0,0,2018,2,22,52598.2,-2.6276231760247213,0.07994309880245432,2.033830687292677,0,full
7020,496,21,0x11c,배터리 잔량 부족,0,1,0,3,0.0,0,1,5,2,0,0,0,1,0,0,0,0,0,2018,2,19,58042.1,0.10385994005512522,-0.8894164209929469,1.629333398717999,0,full
47770,578,38,0x3a5,사용자 로그인 기록,0,3,9,13,0.0,0,6,10,9,1,0,0,1,0,0,0,0,0,2018,2,27,50427.5,3.1463647544444253,-2.2946177562276153,-1.0279245041344556,0,full
22780,227,34,0x31b,알 수 없는 오류 발생,0,2,3,11,0.0,0,6,11,8,2,0,0,0,1,0,0,0,0,2018,1,31,53152.8,-2.687841831603631,1.4222026193985409,-4.596558904184421,0,full
29550,397,5,0b111011,정기 점검 완료,0,1,3,10,0.0,0,7,17,10,2,0,1,0,0,0,0,0,0,2018,2,7,39248.2,4.094664227811653,-0.46050618888475725,-2.4764742756571785,0,full
60320,388,46,0b1110100111,시스템 업데이트 필요,0,1,2,7,0.0,0,3,9,6,1,1,0,0,0,0,0,0,0,2018,2,13,56881.9,2.6929858956755224,-3.4567765140803255,-4.025691353224613,0,full
30550,250,22,0b1010110,사용자 로그인 기록,0,2,7,11,0.0,0,6,8,8,1,0,0,1,0,0,0,0,0,2018,3,19,42998.2,4.119211389867241,-1.763476425627771,3.7217444486110915,0,full
39160,607,37,0b1101001111,네트워크 연결 불안정,0,4,8,15,0.0,0,4,26,10,2,0,0,0,0,0,0,1,0,2018,4,10,59518.2,4.639012018360982,4.161255490920451,2.9754673276164363,0,full
78020,226,35,0x3b2,초기화 작업 진행 중,0,9,7,21,0.0,0,4,13,10,3,0,0,0,1,0,0,0,0,2018,1,31,39011.2,2.899962359156393,-4.015025097165627,5.375128339057944,0,full
42210,244,10,0b111010001,정기 점검 완료,0,2,3,11,0.0,0,1,27,8,3,1,0,0,0,0,0,0,0,2018,3,9,55227.5,-3.7835714110109184,-2.90919139464593,1.2051493092006327,0,full
13320,416,14,0x18e,분석 보고서 생성됨,0,1,0,10,0.0,0,5,10,9,0,1,0,0,0,0,0,0,0,2018,4,2,51583.3,-0.28666244964104104,2.8084281229903807,-1.8381325980791372,0,full
79890,602,46,0b101110101,알 수 없는 오류 발생,0,2,7,17,0.0,0,4,19,14,3,0,0,1,0,0,0,0,0,2018,3,15,62562.6,-1.9574911303699776,0.22560720987782723,3.6943601165398983,0,full
40700,246,43,0b1000000101,시스템 업데이트 필요,0,3,7,9,0.0,0,2,8,6,0,1,0,0,0,0,0,0,0,2018,3,7,56155.2,0.7894209175389264,2.9259050875143826,-3.189211633421232,0,full
20300,203,37,0x14d,데이터 처리 성공,0,2,2,5,0.0,0,1,2,2,0,1,0,0,0,0,0,0,0,2018,1,3,55552.8,1.871031844750335,3.96778187503764,-0.18277064710630242,0,full
11440,156,37,0x2d9,시스템 업데이트 필요,0,3,5,8,0.0,0,3,7,5,0,0,0,1,0,0,0,0,0,2018,3,1,54248.2,0.4050153660266509,2.078014445129461,-4.174203192798549,0,full
43410,339,43,0b1110000100,모터 온도 상승 경고,0,3,7,9,0.0,0,1,7,6,0,0,0,0,1,0,0,0,0,2018,2,12,56048.2,-0.19919139623620508,3.180915582258023,2.148736859690902,0,full
27400,475,29,0xc0,모터 온도 상승 경고,0,5,3,14,0.0,0,3,14,7,4,0,0,1,0,0,0,0,0,2018,2,2,64547.4,1.913339773972802,0.7195002202044316,0.6161842776699835,0,full
38480,275,17,0b1011010011,알 수 없는 오류 발생,0,0,1,8,0.0,0,6,15,7,0,0,1,0,0,0,0,0,0,2018,2,7,36442.1,-0.8542390561960711,0.554733804430791,4.576010057782079,0,full
47020,324,36,0x320,모터 온도 상승 경고,0,1,8,9,0.0,0,1,13,7,0,0,0,0,1,0,0,0,0,2018,2,21,59881.9,0.571727748229665,-1.8552819865338517,3.0599388280387645,0,full
66930,1076,24,0b1110110100,분석 보고서 생성됨,0,9,0,12,0.0,0,3,4,3,0,0,1,0,0,0,0,0,0,2018,4,14,37642.1,0.11762359376885412,-0.24202155995155383,-3.8902900813253796,0,full
5450,980,36,0b111011101,네트워크 연결 불안정,0,0,3,9,0.0,0,5,10,8,0,0,0,0,1,0,0,0,0,2018,3,21,50648.2,3.2356477284103464,3.2438234664806425,-3.456449303713223,0,full
57400,487,21,0x36b,분석 보고서 생성됨,0,7,4,12,0.0,0,3,9,4,5,0,0,1,0,0,0,0,0,2018,2,6,37552.8,3.912977053140559,0.7503688994583753,1.3734245714110207,0,full
29880,670,46,0b10110000,센서 값 정상 범위,0,2,5,9,0.0,0,1,15,7,0,1,0,0,0,0,0,0,0,2018,3,27,40993.3,0.012285466538462853,5.675294235450864,4.711889569071288,0,full
9910,245,11,0x13b,분석 보고서 생성됨,0,1,5,7,0.0,0,3,8,4,2,0,0,0,0,0,0,1,0,2018,2,19,37081.9,4.192998332964583,-2.0084631732345013,-0.14919755835479265,0,full
76830,542,43,0b1000101,사용자 로그인 기록,0,3,10,23,0.0,0,5,22,19,2,0,1,0,0,0,0,0,0,2018,3,11,38198.2,-1.698566963561487,-5.8337797057313905,3.755501588070689,0,full
165180,368,11,0x4c,모터 온도 상승 경고,0,2,8,10,0.0,0,3,20,8,6,1,0,0,0,0,0,0,0,2018,1,31,41593.3,-7.07978161172945,1.6973613196896205,2.8867757380441246,0,full
20360,351,36,0b1011011001,분석 보고서 생성됨,0,2,9,11,0.0,0,2,14,9,0,1,0,0,0,0,0,0,0,2018,3,19,60718.2,4.604533078216236,-3.742932311234879,0.30170800181266877,0,full
96200,805,46,0b11010001,초기화 작업 진행 중,0,6,11,12,0.0,0,1,13,4,2,0,0,0,1,0,0,0,0,2018,2,25,57442.1,-0.7179475416231158,1.448080338443023,-0.9067734962703886,0,full
2520,386,38,0b1101101001,사용자 로그인 기록,0,0,4,4,0.0,0,2,6,4,0,0,0,0,1,0,0,0,0,2018,3,15,36481.9,4.833391366038513,6.181728363443475,-0.08353146054255856,0,full
27470,186,35,0x5d,초기화 작업 진행 중,0,3,1,6,0.0,0,2,3,3,0,0,0,1,0,0,0,0,0,2018,1,31,50881.9,-2.4365527668461473,3.2492135032441185,2.2372166068305246,0,full
53290,392,34,0b111110001,초기화 작업 진행 중,0,2,6,8,0.0,0,3,12,4,3,0,0,0,1,0,0,0,0,2018,3,3,52448.2,-6.599563207882949,3.39938787773782,0.23647982694428293,0,full
164950,230,6,0x356,사용자 로그인 기록,0,15,4,18,0.0,0,2,2,2,1,1,0,0,0,0,0,0,0,2018,2,15,47752.8,3.5610635011765694,-0.07186721929104145,-1.6252837555859312,0,full
5920,684,31,0x1ff,초기화 작업 진행 중,0,0,3,6,0.0,0,3,7,6,0,1,0,0,0,0,0,0,0,2018,4,16,57793.3,-5.219558581907564,2.2300421264091836,-4.386943958331059,0,full
